Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:24
07ecdc66-5c91-4361-ba77-c95c61dbb1bf,,"Medication, Treatment plan Left Eye",Treatment plan,Treatment plan for the patient,Question,Coded,,,
f6bdf231-8f93-4f8e-98e0-e02df7bd911a,,Surgery - Cataract,Surgery - Cataract,Surgery - Cataract,Misc,N/A,,,
40cae243-341a-41e7-a1db-2972af93f8d5,,Surgery - Glaucoma,Surgery - Glaucoma,Surgery - Glaucoma,Misc,N/A,,,
3ece33fd-33e4-4741-b012-0e2d515ad804,,Surgery - Retina,Surgery - Retina,Surgery - Retina,Misc,N/A,,,
8ba78116-b095-491e-b058-5af98131148b,,Surgery - Oculoplastic,Surgery - Oculoplastic,Surgery - Oculoplastic,Misc,N/A,,,
be203be8-f8a5-4f8b-af97-cdfbdcadd7a5,,"Surgery, Treatment plan Right Eye",Surgery,Patient scheduled for a surgery procedure,Question,Coded,Surgery - Cataract;Surgery - Glaucoma;Surgery - Retina;Surgery - Oculoplastic,,
4cab55b9-c33f-4580-b5cd-fd9038abadc0,,"Surgery, Treatment plan Left Eye",Surgery,Patient scheduled for a surgery procedure,Question,Coded,Surgery - Cataract;Surgery - Glaucoma;Surgery - Retina;Surgery - Oculoplastic,,
9618435c-67b3-11ef-b6b4-325096b39f47,,"Medication, Treatment plan (answer)",Treatment plan,Treatment plan for the patient,Misc,N/A,,,
aed7c7af-458f-4bdd-8cc7-2b7a838af847,,"Treatment Plan, Investigations Right Eye",,,Misc,Coded,None;Advice;Medication;Lazer T;Minor Surgical Procedure,,
181a6214-cebb-46d6-860a-af1d9163007c,,"Treatment Plan, Investigations Left Eye",,,Misc,Coded,None;Advice;Medication;Lazer T;Minor Surgical Procedure,,
47b41c0c-3103-4d00-a603-c1f03500a8be,,Investigations,,,Misc,N/A,,,
7ae9282d-188d-43eb-92a0-518d1b051a34,,Itching sensation,Itching sensation,Itching sensation,Misc,N/A,,,
0d481144-8db0-4755-9d42-fbfb7569b938,,Watery eye,Watery eye,Watery eye,Misc,N/A,,,
90f10cd9-f6ca-42d5-83cb-2489caa6c012,,Trauma (complaint),Trauma,Trauma,Misc,N/A,,,
8e6dd7dc-cd18-440b-96c4-2a00b8b059da,,Photophobia,Photophobia,Photophobia,Misc,N/A,,,
e707e3fc-ca5e-4034-9e76-7b5e2628e62e,,Visual reduction,Visual reduction,Visual reduction,Misc,N/A,,,
cd8ba927-8752-4bfc-b6dd-ed5a86e8e3dd,,Difficult of reading,Difficult of reading,Difficult of reading,Misc,N/A,,,
bbbb0dbd-36f6-4453-b0e9-8db9ab983b7f,,Crossed eye,Crossed eye,Crossed eye,Misc,N/A,,,
86a85b69-f42b-495e-8537-9ac39e9a64f3,,Painful eye,Painful eye,Painful eye,Misc,N/A,,,
fd95ce33-5e2a-4ae1-b9cc-54fdb24ae42f,,Swollen eye lid,Swollen eye lid,Swollen eye lid,Misc,N/A,,,
092e1519-4293-4b49-abb6-91297c44b294,,Rash over eye lid,Rash over eye lid,Rash over eye lid,Misc,N/A,,,
c12d7fdb-aa6e-457f-8d35-6e9a24747b04,,Blisters over eye lid,Blisters over eye lid,Blisters over eye lid,Misc,N/A,,,
516cfc3b-139a-4fb0-bd31-6afd4885a186,,Protrusion of eye ball,Protrusion of eye ball,Protrusion of eye ball,Misc,N/A,,,
b7a3f337-1e19-4a77-9241-7340670ae209,,Inflamed skin,Inflamed skin,Inflamed skin,Misc,N/A,,,
88d59616-e9e8-4c16-9301-15f8b01183da,,Swollen skin,Swollen skin,Swollen skin,Misc,N/A,,,
899f6fff-23c2-400f-8e36-d66aabe7515c,,Over hanging skin,Over hanging skin,Over hanging skin,Misc,N/A,,,
e73e33a3-8327-4927-b878-9b074602be62,,Mass,Mass,Mass,Misc,N/A,,,
5f1d5a13-a443-467d-937b-f1c8e4e887d6,,Macule,Macule,Macule,Misc,N/A,,,
a08bbc7e-30b1-4056-a61b-839ed3aefe5a,,Papule,Papule,Papule,Misc,N/A,,,
8a5ec3e9-f979-49cc-a5b6-9add25b3b5d5,,Vesicle,Vesicle,Vesicle,Misc,N/A,,,
9c713fdb-31e7-417e-975f-378ebe89d6e5,,Bulla,Bulla,Bulla,Misc,N/A,,,
3fa99232-1e9a-4900-869e-90ae7a661fe6,,Crust,Crust,Crust,Misc,N/A,,,
33fd37e0-478f-4f86-9119-40deefb0766c,,Nodule,Nodule,Nodule,Misc,N/A,,,
183fe8a0-94fd-4c07-91af-e071ffbef1c0,,Plaque,Plaque,Plaque,Misc,N/A,,,
ad7a2e1e-8d8a-47ca-b919-85e5403ac928,,Scale,Scale,Scale,Misc,N/A,,,
36ed6af8-4f17-4da5-90f6-fdfcfa7bf58b,,Papilloma,Papilloma,Papilloma,Misc,N/A,,,
b8977d8b-7b54-4004-836b-b6393e04bf72,,Ulcerated,Ulcerated,Ulcerated,Misc,N/A,,,
808ea29e-7923-40bf-b1f9-3dc9fe2d1225,,Port Wine stain,Port Wine stain,Port Wine stain,Misc,N/A,,,
699fd20a-2bb7-421d-978d-73dfc43a2275,,Scales on cilia,Scales on cilia,Scales on cilia,Misc,N/A,,,
30d83998-2731-43c7-9413-de5d06e2fde4,,Sticky cilia,Sticky cilia,Sticky cilia,Misc,N/A,,,
ab89d3d9-5c9c-444d-8a22-2c9f3000d7eb,,Minimal discharge,Minimal discharge,Minimal discharge,Misc,N/A,,,
46357992-2545-4cfc-a39d-4316713adf70,,Profuse discharge,Profuse discharge,Profuse discharge,Misc,N/A,,,
79552c4a-5222-4914-9264-77129294a9f1,,Misdirected UL lashes,Misdirected UL lashes,Misdirected UL lashes,Misc,N/A,,,
1bcd2d31-db43-4b64-9387-7190d6a10a98,,Mis directed LL,Mis directed LL,Mis directed LL,Misc,N/A,,,
d68cfcde-0f04-4da8-9690-83956987b134,,Foamy discharge,Foamy discharge,Foamy discharge,Misc,N/A,,,
822eacb4-c910-457c-93c7-88e2e1050c06,,Hyperaemic eyelid margin,Hyperaemic eyelid margin,Hyperaemic eyelid margin,Misc,N/A,,,
8f7745e3-94c7-418b-9c41-dd0b02ffd179,,Telangiectasis,Telangiectasis,Telangiectasis,Misc,N/A,,,
